tir,vir,dc,du,rbd,rbm,rba,rbp,rlp,rld,rlm,rla
15.0,403.68,1080,744,0.057898,1.2229,15.7,53.82,45.75,0.050648,1.07,13.61
15.0,411.05,1095,755,0.057898,1.2229,15.7,54.81,46.59,0.050667,1.07,13.62
15.0,157.11,1800,1238,0.057898,1.2229,15.7,104.74,89.03,0.051446,1.09,13.84
15.0,49.77,721,495,0.057898,1.2229,15.7,33.18,28.2,0.0502,1.06,13.48
15.0,65.13,900,623,0.057898,1.2229,15.7,43.42,36.91,0.050434,1.06,13.55
15.0,82.21,1095,755,0.057898,1.2229,15.7,54.81,46.59,0.050667,1.07,13.62
15.0,160.51,1825,1257,0.057898,1.2229,15.7,107.0,90.95,0.051474,1.09,13.85
15.0,82.21,1095,755,0.057898,1.2229,15.7,54.81,46.59,0.050667,1.07,13.62
15.0,118.36,1460,1005,0.057898,1.2229,15.7,78.91,67.07,0.051084,1.08,13.73
15.0,118.36,1460,1005,0.057898,1.2229,15.7,78.91,67.07,0.051084,1.08,13.73
15.0,160.51,1825,1257,0.057898,1.2229,15.7,107.0,90.95,0.051474,1.09,13.85
17.5,42.17,540,373,0.057898,1.2229,15.7,24.1,19.88,0.048625,1.03,13.03
